,title
0,"삼성전자, 갤럭시폰 '수리 모드' 공개…""개인정보 접근 원천 차단"""
1,삼성 갤럭시폰 '수리 모드' 추가...개인정보 유출 원천 차단
2,“갤럭시폰 고칠 때 꼭 ‘수리모드’ 켜세요”
3,"""모르는 사람이 내 사진 본다고?""…삼성·애플, 스마트폰 보안 강화 경쟁"
4,"삼성전자 갤럭시폰, 수리기사가 내 사진 못 본다"
5,"삼성전자, 갤럭시폰에 '수리 모드' 추가... 개인정보 유출 방지"
6,"AS, 개인정보 유출 걱정 끝…삼성전자, ‘수리모드’ 도입"
7,갤럭시 ‘수리 모드’…삼성 “수리 업체 통한 개인정보 유출 막겠다”
8,“수리 업체가 내 사진 못 본다” 삼성 갤럭시폰에 ‘수리 모드’ 도입
9,"삼성 갤럭시폰에 '수리 모드' 추가…""개인정보 유출 원천 차단"""
10,갤럭시 정보유출 막는 '수리모드' 공개...갤S21부터 적용
11,갤럭시폰에 정보유출 방지 ‘수리 모드’ 탑재
12,삼성 갤럭시폰에 '수리 모드' 도입…개인정보 유출 차단
13,삼성 갤럭시폰에 `수리 모드` 도입…개인 정보 유출 막는다
14,"""수리 맡겨도 사진 유출 걱정 없다"" 삼성, 갤럭시폰에 '수리 모드' 추가"
15,"삼성, 갤럭시폰 '수리 모드' 선봬…개인정보 보호 강화"
16,"삼성전자, 갤럭시에 ‘수리 모드’ 추가…“개인정보 유출 원천 차단”"
17,"‘개인정보 유출 차단’…삼성, 갤럭시에 ‘수리 모드’ 추가"
18,"삼성전자, 갤럭시폰 '수리 모드' 공개…""개인정보 접근 차단"""
19,"삼성, 갤럭시에 '수리 모드' 탑재…""개인정보 유출 차단"""
20,"""갤럭시폰 수리 맡겨도 정보유출 걱정 없다""…삼성, '수리 모드' 도입"
21,"삼성 갤럭시S21, '수리모드' 추가…개인정보 유출 '원천차단'"
22,"""AS 맡겨도 필수 정보만 공개""…갤럭시폰 '수리 모드' 추가"
23,"삼성, 갤럭시 폰에 '수리 모드' 추가…""개인정보 유출 차단"""
